order_id,date,region,category,sales_rep,channel,units,unit_price,revenue,cost,profit,customer_satisfaction
ORD-10961,2025-04-27,South,Electronics,Robert Johnson,Direct,13,297.89,3872.57,2364.99,1507.58,3.8
ORD-10029,2024-01-16,South,Office Supplies,Maria Garcia,Direct,10,105.9,1059.0,531.02,527.98,4.1
ORD-10259,2024-05-19,Midwest,Electronics,Chris Brown,Direct,15,367.16,5507.4,3457.19,2050.21,4.9
ORD-10796,2025-02-15,South,Office Supplies,Amy Liu,Online,25,177.25,4431.25,2349.68,2081.57,
ORD-10253,2024-04-29,South,Furniture,Maria Garcia,Direct,4,253.53,1014.12,682.21,331.91,3.5
ORD-10280,2024-06-14,West,Furniture,Lisa Patel,Partner,3,334.96,1004.88,748.14,256.74,4.9
ORD-11212,2025-09-18,West,Furniture,Lisa Patel,Partner,13,305.25,3968.25,2520.5,1447.75,3.8
ORD-10535,2024-09-24,Midwest,Furniture,Tom Anderson,Partner,9,248.95,2240.55,1599.8,640.75,4.6
ORD-10598,2024-10-17,Midwest,Software,Chris Brown,Partner,3,270.17,810.51,318.6,491.91,3.7
ORD-11324,2025-11-07,West,Furniture,Sarah Chen,Partner,24,358.66,8607.84,5875.73,2732.11,4.3
ORD-11136,2025-07-25,Midwest,Furniture,Tom Anderson,Partner,4,303.65,1214.6,755.52,459.08,3.9
ORD-11168,2025-09-03,East,Software,David Kim,Partner,20,431.43,8628.6,3564.69,5063.91,3.4
ORD-10930,2025-04-16,Midwest,Furniture,Tom Anderson,Direct,9,366.95,3302.55,2405.4,897.15,3.2
ORD-10032,2024-01-09,South,Furniture,Maria Garcia,Partner,23,181.26,4168.98,2702.01,1466.97,4.9
ORD-10237,2024-04-30,East,Furniture,David Kim,Direct,1,331.17,331.17,238.29,92.88,3.2
ORD-10829,2025-02-24,West,Furniture,Lisa Patel,Partner,20,306.33,6126.6,4505.08,1621.52,4.5
ORD-10238,2024-05-04,East,Furniture,Emily Zhang,Partner,11,229.0,2519.0,1770.9,748.1,3.7
ORD-10793,2025-02-08,South,Electronics,Robert Johnson,Online,13,283.76,3688.88,2074.85,1614.03,4.5
ORD-10005,2024-01-02,West,Office Supplies,Lisa Patel,Online,18,118.56,2134.08,1272.88,861.2,4.5
ORD-10055,2024-02-18,West,Furniture,Lisa Patel,Direct,25,309.17,7729.25,5661.08,2068.17,4.2
ORD-10378,2024-07-20,West,Office Supplies,Mike Torres,Online,24,190.34,4568.16,2325.23,2242.93,3.6
ORD-11176,2025-08-13,South,Office Supplies,Maria Garcia,Direct,21,107.33,2253.93,1346.89,907.04,2.7
ORD-10444,2024-09-03,East,Office Supplies,David Kim,Partner,25,257.2,6430.0,3694.78,2735.22,3.7
ORD-10612,2024-11-08,West,Furniture,Lisa Patel,Partner,22,457.27,10059.94,7336.83,2723.11,3.8
ORD-10109,2024-03-12,West,Office Supplies,Mike Torres,Online,20,190.77,3815.4,2161.36,1654.04,4.8
ORD-10436,2024-08-15,West,Furniture,Lisa Patel,Partner,16,220.27,3524.32,2200.06,1324.26,3.5
ORD-11239,2025-09-17,South,Software,Amy Liu,Partner,22,328.01,7216.22,2878.88,4337.34,4.6
ORD-10859,2025-03-06,Midwest,Electronics,Chris Brown,Partner,15,343.92,5158.8,3166.44,1992.36,4.3
ORD-10195,2024-04-12,South,Furniture,Maria Garcia,Partner,12,225.32,2703.84,1893.61,810.23,4.1
ORD-10835,2025-03-18,East,Electronics,Emily Zhang,Partner,7,456.07,3192.49,2061.86,1130.63,4.1
ORD-11263,2025-10-25,West,Office Supplies,Lisa Patel,Direct,19,249.5,4740.5,2610.91,2129.59,3.8
ORD-10735,2025-01-26,East,Software,Emily Zhang,Partner,15,512.87,7693.05,2770.34,4922.71,3.7
ORD-10763,2024-12-30,Midwest,Furniture,Tom Anderson,Direct,9,308.92,2780.28,1943.74,836.54,3.9
ORD-10373,2024-07-04,Midwest,Software,Rachel Lee,Direct,16,219.72,3515.52,1281.38,2234.14,4.0
ORD-10993,2025-05-26,West,Software,Sarah Chen,Partner,6,733.73,4402.38,1600.36,2802.02,3.0
ORD-10865,2025-02-26,Midwest,Office Supplies,Rachel Lee,Online,5,171.77,858.85,427.19,431.66,4.3
ORD-11321,2025-11-08,West,Office Supplies,Lisa Patel,Partner,17,189.07,3214.19,1907.67,1306.52,3.6
ORD-10905,2025-04-03,East,Software,James Wilson,Partner,22,577.47,12704.34,4967.13,7737.21,4.5
ORD-10154,2024-03-23,Midwest,Furniture,Chris Brown,Online,3,237.62,712.86,446.53,266.33,4.2
ORD-10003,2024-01-08,West,Office Supplies,Mike Torres,Partner,9,181.41,1632.69,809.35,823.34,4.4
ORD-11279,2025-10-28,East,Electronics,James Wilson,Online,3,594.54,1783.62,1127.55,656.07,3.9
ORD-11308,2025-10-31,Midwest,Furniture,Rachel Lee,Partner,23,374.3,8608.9,5863.63,2745.27,3.5
ORD-10581,2024-10-20,South,Furniture,Robert Johnson,Partner,2,315.27,630.54,408.69,221.85,4.3
ORD-10263,2024-05-15,Midwest,Office Supplies,Tom Anderson,Partner,25,196.98,4924.5,2569.04,2355.46,3.8
ORD-10101,2024-02-11,Midwest,Software,Tom Anderson,Direct,4,256.33,1025.32,378.75,646.57,4.4
ORD-10011,2024-01-15,West,Software,Sarah Chen,Online,5,396.43,1982.15,802.59,1179.56,4.0
ORD-10246,2024-05-06,South,Electronics,Amy Liu,Direct,18,328.42,5911.56,3890.15,2021.41,4.0
ORD-10720,2025-01-26,West,Furniture,Lisa Patel,Partner,8,288.78,2310.24,1610.7,699.54,5.0
ORD-10045,2024-01-12,Midwest,Furniture,Chris Brown,Partner,13,244.8,3182.4,2312.77,869.63,4.0
ORD-10413,2024-08-03,South,Software,Amy Liu,Online,10,359.85,3598.5,1434.14,2164.36,3.9
ORD-10026,2024-01-18,South,Electronics,Maria Garcia,Direct,21,353.48,7423.08,4911.61,2511.47,5.0
ORD-10312,2024-06-02,South,Software,Amy Liu,Online,16,311.18,4978.88,2017.6,2961.28,3.9
ORD-10034,2024-01-12,South,Furniture,Maria Garcia,Direct,12,177.68,2132.16,1431.94,700.22,4.1
ORD-11305,2025-10-20,Midwest,Office Supplies,Tom Anderson,Partner,3,197.14,591.42,313.95,277.47,3.3
ORD-10429,2024-07-21,Midwest,Software,Tom Anderson,Online,1,254.46,254.46,106.41,148.05,4.8
ORD-10176,2024-04-01,West,Software,Mike Torres,Online,1,521.92,521.92,204.44,317.48,4.3
ORD-10197,2024-04-09,South,Software,Maria Garcia,Direct,5,436.21,2181.05,864.05,1317.0,4.6
ORD-10596,2024-10-15,Midwest,Furniture,Tom Anderson,Online,17,274.76,4670.92,3301.92,1369.0,4.7
ORD-10273,2024-04-27,Midwest,Software,Tom Anderson,Direct,17,252.59,4294.03,1611.78,2682.25,3.0
ORD-10680,2024-12-29,East,Electronics,Emily Zhang,Online,17,383.18,6514.06,4353.67,2160.39,4.0
ORD-10785,2025-02-10,East,Furniture,David Kim,Partner,22,200.02,4400.44,2778.87,1621.57,3.4
ORD-10724,2025-01-20,East,Electronics,Emily Zhang,Direct,25,277.14,6928.5,4061.8,2866.7,3.3
ORD-10681,2024-12-23,East,Office Supplies,David Kim,Partner,19,263.59,5008.21,2508.14,2500.07,3.5
ORD-11318,2025-11-16,West,Office Supplies,Mike Torres,Direct,13,281.78,3663.14,1910.54,1752.6,4.2
ORD-10485,2024-08-12,Midwest,Software,Chris Brown,Partner,5,222.9,1114.5,401.67,712.83,3.5
ORD-11019,2025-06-01,Midwest,Electronics,Chris Brown,Direct,4,366.36,1465.44,958.85,506.59,3.9
ORD-11106,2025-07-19,West,Software,Lisa Patel,Online,23,749.34,17234.82,6603.91,10630.91,4.2
ORD-10110,2024-03-07,West,Office Supplies,Lisa Patel,Partner,25,169.76,4244.0,2353.35,1890.65,3.2
ORD-11095,2025-07-19,West,Electronics,Sarah Chen,Partner,21,482.94,10141.74,5947.56,4194.18,4.2
ORD-10716,2025-01-23,West,Furniture,Sarah Chen,Direct,16,220.88,3534.08,2166.33,1367.75,4.9
ORD-10982,2025-04-28,Midwest,Furniture,Tom Anderson,Partner,24,279.33,6703.92,4453.51,2250.41,4.9
ORD-11143,2025-08-05,Midwest,Software,Rachel Lee,Online,11,352.11,3873.21,1519.88,2353.33,4.0
ORD-10088,2024-02-22,South,Software,Maria Garcia,Partner,7,253.51,1774.57,650.37,1124.2,4.9
ORD-10293,2024-05-25,East,Office Supplies,David Kim,Partner,1,293.79,293.79,160.34,133.45,3.9
ORD-11278,2025-10-29,East,Electronics,Emily Zhang,Partner,2,393.9,787.8,446.71,341.09,5.0
ORD-10306,2024-05-25,South,Office Supplies,Robert Johnson,Online,7,153.49,1074.43,562.85,511.58,3.9
ORD-10386,2024-07-28,East,Electronics,David Kim,Direct,20,445.42,8908.4,5144.43,3763.97,4.5
ORD-10606,2024-11-20,West,Office Supplies,Lisa Patel,Direct,11,222.93,2452.23,1374.92,1077.31,5.0
ORD-10887,2025-03-24,West,Furniture,Mike Torres,Partner,20,413.05,8261.0,5842.51,2418.49,3.7
ORD-11284,2025-10-13,East,Furniture,James Wilson,Partner,1,298.78,298.78,213.23,85.55,3.8
ORD-10210,2024-04-10,Midwest,Software,Chris Brown,Direct,11,270.41,2974.51,1099.98,1874.53,5.0
ORD-10774,2025-02-23,West,Furniture,Lisa Patel,Direct,23,238.0,5474.0,3443.4,2030.6,4.6
ORD-10084,2024-02-13,South,Software,Robert Johnson,Online,6,377.65,2265.9,861.49,1404.41,3.6
ORD-10243,2024-05-16,East,Software,James Wilson,Partner,25,532.97,13324.25,5636.02,7688.23,3.4
ORD-11337,2025-11-18,East,Furniture,Emily Zhang,Direct,8,311.57,2492.56,1824.06,668.5,4.1
ORD-10334,2024-07-11,West,Software,Lisa Patel,Direct,22,640.32,14087.04,5302.86,8784.18,3.7
ORD-11158,2025-09-01,East,Electronics,James Wilson,Partner,21,318.74,6693.54,4391.18,2302.36,4.3
ORD-11397,2025-12-13,South,Electronics,Robert Johnson,Direct,9,548.69,4938.21,3123.5,1814.71,3.5
ORD-10221,2024-05-15,West,Office Supplies,Lisa Patel,Partner,1,199.99,199.99,104.84,95.15,3.2
ORD-11372,2025-11-18,Midwest,Software,Rachel Lee,Online,17,398.8,6779.6,2483.07,4296.53,4.6
ORD-10456,2024-08-16,South,Electronics,Robert Johnson,Direct,17,328.82,5589.94,3502.66,2087.28,3.4
ORD-10940,2025-05-18,West,Office Supplies,Mike Torres,Online,4,226.58,906.32,489.61,416.71,4.2
ORD-10230,2024-05-18,East,Electronics,David Kim,Online,18,445.96,8027.28,4615.86,3411.42,4.6
ORD-10042,2024-01-06,Midwest,Office Supplies,Chris Brown,Online,14,190.79,2671.06,1576.05,1095.01,2.9
ORD-10870,2025-03-11,Midwest,Furniture,Tom Anderson,Online,20,349.5,6990.0,4607.53,2382.47,3.7
ORD-10158,2024-03-15,Midwest,Furniture,Chris Brown,Online,22,309.86,6816.92,4695.3,2121.62,4.8
ORD-10019,2024-01-05,East,Furniture,James Wilson,Partner,16,312.59,5001.44,3173.2,1828.24,3.3
ORD-10704,2024-12-24,Midwest,Office Supplies,Rachel Lee,Direct,19,261.93,4976.67,3006.29,1970.38,3.1
ORD-10302,2024-05-29,South,Electronics,Maria Garcia,Partner,4,239.75,959.0,575.92,383.08,4.3
ORD-10507,2024-09-11,East,Office Supplies,James Wilson,Online,20,290.75,5815.0,3433.19,2381.81,4.6
ORD-11141,2025-08-05,Midwest,Software,Tom Anderson,Online,6,278.4,1670.4,613.63,1056.77,3.0
ORD-11133,2025-08-05,Midwest,Office Supplies,Tom Anderson,Direct,12,134.39,1612.68,974.59,638.09,4.9
ORD-11032,2025-06-03,Midwest,Software,Chris Brown,Partner,4,441.48,1765.92,677.25,1088.67,3.6
ORD-10929,2025-04-01,Midwest,Office Supplies,Chris Brown,Partner,16,170.73,2731.68,1410.41,1321.27,4.0
ORD-11162,2025-08-25,East,Furniture,James Wilson,Partner,5,370.99,1854.95,1171.94,683.01,4.1
ORD-10440,2024-09-07,West,Software,Mike Torres,Direct,4,527.6,2110.4,922.21,1188.19,4.4
ORD-11394,2025-12-12,South,Electronics,Amy Liu,Online,22,509.5,11209.0,6301.67,4907.33,4.0
ORD-10949,2025-04-28,East,Office Supplies,James Wilson,Partner,8,274.97,2199.76,1201.77,997.99,4.3
ORD-10478,2024-09-02,Midwest,Office Supplies,Chris Brown,Direct,22,184.99,4069.78,2061.07,2008.71,3.9
ORD-10575,2024-11-02,South,Office Supplies,Robert Johnson,Partner,12,182.33,2187.96,1269.78,918.18,3.1
ORD-10285,2024-05-24,West,Software,Sarah Chen,Direct,14,559.77,7836.78,3169.03,4667.75,4.0
ORD-10659,2024-11-26,Midwest,Software,Chris Brown,Online,20,365.35,7307.0,2824.79,4482.21,4.4
ORD-11214,2025-09-26,West,Software,Mike Torres,Partner,16,807.9,12926.4,4986.4,7940.0,3.6
ORD-10279,2024-05-22,West,Office Supplies,Mike Torres,Direct,19,159.57,3031.83,1779.11,1252.72,3.1
ORD-11092,2025-07-27,West,Electronics,Lisa Patel,Partner,1,429.27,429.27,254.94,174.33,4.2
ORD-10623,2024-11-05,East,Electronics,David Kim,Online,17,550.57,9359.69,6339.89,3019.8,4.3
ORD-11425,2025-12-29,West,Office Supplies,Lisa Patel,Online,8,200.92,1607.36,846.53,760.83,3.8
ORD-10776,2025-01-28,West,Furniture,Mike Torres,Direct,9,214.25,1928.25,1259.19,669.06,
ORD-10577,2024-10-23,South,Office Supplies,Amy Liu,Online,25,170.1,4252.5,2391.75,1860.75,3.7
ORD-10643,2024-11-24,South,Office Supplies,Maria Garcia,Partner,10,159.87,1598.7,803.29,795.41,3.9
ORD-10824,2025-03-09,West,Electronics,Lisa Patel,Partner,18,510.64,9191.52,5645.47,3546.05,
ORD-10466,2024-08-28,South,Furniture,Amy Liu,Online,23,237.32,5458.36,4028.28,1430.08,3.9
ORD-11230,2025-09-08,South,Electronics,Amy Liu,Partner,10,439.13,4391.3,2736.37,1654.93,4.1
ORD-10537,2024-09-25,Midwest,Furniture,Rachel Lee,Online,23,186.98,4300.54,3026.2,1274.34,3.9
ORD-10610,2024-11-25,West,Furniture,Sarah Chen,Direct,24,360.11,8642.64,6418.39,2224.25,4.2
ORD-11207,2025-09-24,West,Office Supplies,Sarah Chen,Online,21,145.95,3064.95,1675.57,1389.38,4.4
ORD-11196,2025-08-17,Midwest,Software,Rachel Lee,Direct,7,358.76,2511.32,1082.34,1428.98,3.4
ORD-11056,2025-07-04,East,Software,James Wilson,Direct,11,376.96,4146.56,1794.26,2352.3,3.8
ORD-10772,2025-02-09,West,Office Supplies,Mike Torres,Direct,4,196.94,787.76,469.96,317.8,3.4
ORD-10893,2025-04-16,East,Electronics,James Wilson,Online,11,548.93,6038.23,3972.36,2065.87,4.9
ORD-10795,2025-02-11,South,Electronics,Amy Liu,Partner,22,300.83,6618.26,4078.55,2539.71,3.8
ORD-10240,2024-04-30,East,Furniture,David Kim,Online,23,244.12,5614.76,3946.16,1668.6,4.6
ORD-10044,2024-01-08,Midwest,Furniture,Tom Anderson,Partner,7,207.54,1452.78,944.15,508.63,5.0
ORD-10740,2025-01-09,South,Office Supplies,Robert Johnson,Online,17,158.24,2690.08,1413.6,1276.48,2.9
ORD-10112,2024-02-26,West,Furniture,Sarah Chen,Online,2,222.68,445.36,295.26,150.1,3.8
ORD-10890,2025-04-09,West,Software,Lisa Patel,Online,17,557.13,9471.21,3891.29,5579.92,
ORD-10695,2024-12-16,South,Office Supplies,Robert Johnson,Direct,24,176.17,4228.08,2182.7,2045.38,4.4
ORD-11084,2025-06-30,Midwest,Furniture,Chris Brown,Online,2,287.28,574.56,399.73,174.83,4.9
ORD-10518,2024-10-02,South,Office Supplies,Maria Garcia,Partner,4,189.53,758.12,412.51,345.61,4.6
ORD-10118,2024-02-27,West,Software,Lisa Patel,Partner,16,541.07,8657.12,3741.91,4915.21,4.9
ORD-10894,2025-04-10,East,Electronics,David Kim,Direct,12,374.32,4491.84,2877.91,1613.93,4.0
ORD-11229,2025-09-13,South,Electronics,Amy Liu,Direct,20,333.14,6662.8,4109.31,2553.49,5.0
ORD-10578,2024-10-09,South,Office Supplies,Maria Garcia,Direct,6,201.98,1211.88,626.82,585.06,4.9
ORD-10120,2024-03-17,East,Electronics,David Kim,Direct,10,423.51,4235.1,2380.71,1854.39,3.2
ORD-11233,2025-09-11,South,Furniture,Robert Johnson,Partner,17,311.72,5299.24,3258.07,2041.17,5.0
ORD-10536,2024-09-10,Midwest,Furniture,Chris Brown,Online,13,322.55,4193.15,3008.68,1184.47,4.6
ORD-10511,2024-09-24,East,Software,David Kim,Direct,20,501.14,10022.8,3609.17,6413.63,4.9
ORD-10603,2024-11-19,West,Electronics,Lisa Patel,Partner,5,586.45,2932.25,1879.17,1053.08,3.2
ORD-10880,2025-04-16,West,Electronics,Sarah Chen,Direct,21,431.94,9070.74,5982.84,3087.9,4.5
ORD-11011,2025-05-23,South,Office Supplies,Amy Liu,Online,7,139.86,979.02,505.04,473.98,4.8
ORD-10698,2024-12-10,South,Furniture,Robert Johnson,Partner,22,376.46,8282.12,5432.93,2849.19,4.8
ORD-10059,2024-02-14,West,Software,Mike Torres,Partner,8,390.01,3120.08,1142.57,1977.51,4.0
ORD-10858,2025-02-27,South,Software,Amy Liu,Partner,15,267.06,4005.9,1500.52,2505.38,4.6
ORD-11235,2025-09-14,South,Furniture,Robert Johnson,Partner,4,350.75,1403.0,1026.0,377.0,3.5
ORD-10081,2024-02-22,South,Office Supplies,Amy Liu,Direct,7,102.07,714.49,391.73,322.76,3.8
ORD-11294,2025-10-25,South,Furniture,Robert Johnson,Online,25,311.82,7795.5,5573.68,2221.82,3.9
ORD-11406,2025-12-25,South,Software,Maria Garcia,Online,12,492.02,5904.24,2514.37,3389.87,4.8
ORD-10697,2024-12-26,South,Furniture,Amy Liu,Partner,6,400.98,2405.88,1700.02,705.86,4.1
ORD-11008,2025-05-21,South,Electronics,Robert Johnson,Online,13,301.3,3916.9,2400.0,1516.9,4.4
ORD-10326,2024-07-09,West,Electronics,Sarah Chen,Partner,10,317.36,3173.6,2137.92,1035.68,4.7
ORD-10928,2025-04-15,Midwest,Office Supplies,Chris Brown,Partner,7,149.87,1049.09,632.88,416.21,3.9
ORD-10382,2024-08-07,West,Furniture,Sarah Chen,Direct,13,268.66,3492.58,2336.79,1155.79,4.1
ORD-10898,2025-04-07,East,Office Supplies,David Kim,Online,24,316.37,7592.88,4446.54,3146.34,2.9
ORD-10454,2024-08-31,East,Software,James Wilson,Direct,4,543.51,2174.04,850.99,1323.05,4.8
ORD-10296,2024-06-06,East,Furniture,James Wilson,Online,23,387.52,8912.96,6105.55,2807.41,4.5
ORD-10879,2025-03-27,West,Electronics,Sarah Chen,Partner,4,546.32,2185.28,1466.24,719.04,4.4
ORD-10722,2025-01-07,West,Software,Mike Torres,Partner,25,508.88,12722.0,4686.2,8035.8,4.0
ORD-11219,2025-10-02,East,Office Supplies,Emily Zhang,Direct,3,234.91,704.73,361.57,343.16,3.7
ORD-10917,2025-03-29,South,Furniture,Maria Garcia,Partner,14,326.05,4564.7,3138.23,1426.47,5.0
ORD-10739,2025-01-09,South,Electronics,Maria Garcia,Partner,4,331.88,1327.52,862.14,465.38,4.1
ORD-10139,2024-03-16,South,Office Supplies,Robert Johnson,Direct,23,109.53,2519.19,1428.43,1090.76,4.6
ORD-11015,2025-06-03,South,Software,Maria Garcia,Online,21,489.42,10277.82,3723.25,6554.57,3.9
ORD-10365,2024-06-21,Midwest,Office Supplies,Tom Anderson,Partner,20,219.6,4392.0,2486.75,1905.25,2.9
ORD-11362,2025-11-19,Midwest,Office Supplies,Chris Brown,Online,16,260.08,4161.28,2488.37,1672.91,4.5
ORD-11200,2025-09-20,West,Electronics,Sarah Chen,Direct,6,568.78,3412.68,2085.98,1326.7,4.7
ORD-10344,2024-06-27,East,Furniture,Emily Zhang,Online,17,231.24,3931.08,2786.65,1144.43,3.6
ORD-10673,2024-12-09,West,Furniture,Mike Torres,Partner,19,391.95,7447.05,4879.79,2567.26,3.7
ORD-10602,2024-11-04,West,Electronics,Mike Torres,Direct,24,536.97,12887.28,7516.78,5370.5,4.2
ORD-11128,2025-08-08,South,Software,Amy Liu,Direct,1,441.64,441.64,193.55,248.09,4.9
ORD-10094,2024-02-25,Midwest,Office Supplies,Chris Brown,Partner,1,202.5,202.5,115.21,87.29,4.0
ORD-10271,2024-05-11,Midwest,Software,Chris Brown,,20,419.21,8384.2,3460.52,4923.68,4.8
ORD-10377,2024-08-04,West,Office Supplies,Mike Torres,Direct,23,207.56,4773.88,2727.28,2046.6,5.0
ORD-11005,2025-06-08,East,Software,James Wilson,Direct,16,430.81,6892.96,2587.6,4305.36,3.9
ORD-10192,2024-04-02,South,Office Supplies,Amy Liu,Direct,3,165.41,496.23,267.81,228.42,4.4
ORD-10494,2024-09-29,West,Office Supplies,Sarah Chen,Partner,19,173.15,3289.85,1842.0,1447.85,3.4
ORD-11098,2025-07-25,West,Office Supplies,Lisa Patel,Online,8,170.82,1366.56,683.6,682.96,3.7
ORD-11191,2025-08-23,Midwest,Furniture,Rachel Lee,Partner,15,310.6,4659.0,2965.24,1693.76,4.5
ORD-11107,2025-08-05,West,Software,Sarah Chen,Partner,13,552.75,7185.75,2892.97,4292.78,3.9
ORD-10780,2025-02-12,East,Electronics,David Kim,Online,12,390.48,4685.76,2722.22,1963.54,4.0
ORD-10645,2024-11-14,South,Furniture,Amy Liu,Online,16,353.51,5656.16,3958.23,1697.93,3.3
ORD-10218,2024-05-17,West,Electronics,Mike Torres,Partner,15,348.11,5221.65,3491.97,1729.68,4.2
ORD-11272,2025-10-24,West,Software,Mike Torres,Partner,12,619.25,7431.0,3210.05,4220.95,3.6
ORD-10889,2025-04-02,West,Furniture,Sarah Chen,Direct,18,312.72,5628.96,4000.01,1628.95,4.1
ORD-10616,2024-11-23,West,Software,Lisa Patel,Online,20,715.16,14303.2,5413.37,8889.83,3.8
ORD-11250,2025-09-09,Midwest,Office Supplies,Rachel Lee,Partner,4,195.37,781.48,395.21,386.27,3.0
ORD-11213,2025-09-12,West,Furniture,Mike Torres,Direct,25,372.02,9300.5,6767.24,2533.26,4.8
ORD-10143,2024-03-21,South,Furniture,Robert Johnson,Partner,2,292.08,584.16,405.21,178.95,3.6
ORD-10107,2024-03-23,West,Office Supplies,Lisa Patel,Direct,16,218.69,3499.04,1780.62,1718.42,4.6
ORD-11325,2025-11-06,West,Furniture,Mike Torres,Online,6,334.67,2008.02,1303.69,704.33,2.9
ORD-10401,2024-07-27,South,Electronics,Robert Johnson,Partner,8,221.79,1774.32,1094.63,679.69,4.0
ORD-10419,2024-07-20,Midwest,Electronics,Chris Brown,Online,21,200.45,4209.45,2534.32,1675.13,4.1
ORD-10803,2025-02-13,South,Furniture,Maria Garcia,Online,9,160.58,1445.22,1080.28,364.94,3.7
ORD-11393,2025-12-07,East,Software,Emily Zhang,Direct,15,621.62,9324.3,4044.45,5279.85,3.3
ORD-10470,2024-08-20,South,Software,Amy Liu,Online,5,258.08,1290.4,551.88,738.52,
ORD-10251,2024-05-18,South,Office Supplies,Maria Garcia,Direct,10,154.0,1540.0,884.11,655.89,3.6
ORD-11137,2025-07-14,Midwest,Furniture,Tom Anderson,Online,5,206.76,1033.8,643.52,390.28,3.1
ORD-10004,2024-01-25,West,Office Supplies,Mike Torres,Direct,3,141.98,425.94,227.66,198.28,3.2
ORD-10038,2024-01-25,Midwest,Electronics,Tom Anderson,Partner,9,189.67,1707.03,1046.05,660.98,4.4
